TIME,FINALIZAÇÕES,GOLS,MÉDIA DE CHUTES P/ JOGO,APROVEITAMENTO
Botafogo,445,52,13.48,"11,68%"
Fluminense,467,43,14.15,"9,20%"
Vasco da Gama,424,35,12.84,"8,25%"
Fortaleza,448,34,13.17,"7,58%"
Corinthians,409,39,12.02,"9,53%"
Palmeiras,539,55,15.85,"10,20%"
Flamengo,409,49,12.39,11.24%
Cruzeiro,451,28,13.66,"6,20%"
Athletico,502,47,14.76,"9,36%"
São Paulo,454,37,13.75,"8,14%"
Internacional,427,38,12.55,"8,89%"
RB Bragantino,557,45,16.87,"8,07%"
Santos,403,37,11.85,"9,18%"
Bahia,475,37,13.97,"7,78%"
Cuiabá,418,35,12.29,"8,37%"
Grêmio,453,57,13.32,"12,58%"
Goiás,455,34,13.38,"7,47%"
Atlético-MG,443,42,13.02,"9,48%"
América-MG,478,39,14.05,"8,15%"
Coritiba,376,39,11.05,"10,37%"
