Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Botafogo RJ,45,12.9,663,46.4,81.3,14.2,6.81
2. Palmeiras,47,15.7,722,53.4,83.1,13.5,6.74
3. Red Bull Bragantino,41,16.4,852,56.4,79.5,15,6.73
4. Atletico MG,34,13,914,53.4,82.7,13.9,6.72
5. Flamengo,43,12.9,632,58.7,86.1,12.4,6.71
6. Athletico Paranaense,44,14.7,814,47.2,80.1,15.5,6.69
7. Fluminense,42,14.4,887,61.9,87.5,11.9,6.68
8. Fortaleza,33,14.9,741,47.1,81.4,15.6,6.67
9. Cruzeiro,28,13.7,763,51.4,81.3,14.9,6.66
10. Gremio,46,12.6,764,45.5,78.5,13.5,6.65
11. Bahia,37,13.6,724,51.1,81.2,14,6.63
12. Sao Paulo,34,14.3,794,60.9,86.1,14,6.62
13. Corinthians,35,12,701,48.8,84.1,13.8,6.61
14. Cuiaba,30,12.9,672,45.0,81.0,17.2,6.61
15. Internacional,30,12.4,815,52.3,83.4,12.9,6.59
16. Goias,31,12.4,786,42.5,79.2,17.2,6.58
17. Vasco da Gama,28,13.1,802,48.2,81.8,14.9,6.58
18. Santos FC,31,11.7,817,43.9,78.6,14.5,6.53
19. Coritiba,29,11.8,922,44.1,78.5,15,6.50
20. America MG,33,14.2,699,40.6,75.3,16.8,6.49
